 Zn  P   Se 
   2   2   6
Direct
  0.0000193617669017  0.0000311579290184  0.5001662588327312
  0.3333220434039004  0.6666525320921245  0.4998517641207676
  0.6666427435858786  0.3333222780957600  0.4390907618470356
  0.6666964359279377  0.3333561789585877  0.5609047686608779
  0.3287566925437292 -0.0042714679159108  0.4079882499271513
  1.0041903656512041  0.3329935740804814  0.4079594445802680
  0.6668267189240807  0.6710871945828265  0.4079684645607402
  1.0046223142760244  0.6709017771650713  0.5920178775640363
  0.3291987949592347  0.3337746199479844  0.5920475138172732
  0.6664242597240725 -0.0044468725149998  0.5920393442008783
