 Ti  Hf  S  
   2   2   8
Direct
  0.0008139294137388  0.0031683786995088  0.4885332119312908
  0.5008366921952326  0.0031773371980341  0.5116834580065200
  0.2509106962259941  0.4987359415756816  0.4999340446118004
  0.7508784842846896  0.4987692079199071  0.4999342773754271
  0.0009206118395458  0.3317064074787174  0.4112288689854769
  0.2469628134148738  0.8445072404158591  0.5831193911031172
  0.0008718870757525  0.3174716008401154  0.5822678337215859
  0.2545914660284189  0.8447220294345843  0.4169816188043849
  0.5009440488725304  0.3173863316311249  0.4176955042400355
  0.7546189309803852  0.8443446807367376  0.5831354449213124
  0.5008137662849176  0.3318919100299399  0.5887711310145231
  0.7469876870182394  0.8449370473086039  0.4169736102807350
