 Zr  Hf  S  
   3   1   8
Direct
  0.0002128914747214  0.0021109419702029  0.4902237458003649
  0.5008312356949340  0.0017638647982332  0.5144218495654639
  0.2513874766462247  0.5021282683277407  0.4911423697869625
  0.7511586513280044  0.5014099231168563  0.5061060883083726
 -0.0060651276850278  0.3440111112285773  0.4105252294803104
  0.2406214730022551  0.8267066714781974  0.5843802584316912
  0.0053874991105508  0.3278335070800381  0.5820267304136358
  0.2603340087509339  0.8431053606065758  0.4128792474064977
  0.5087539711930000  0.3247983852736012  0.4181598463096282
  0.7600728741267468  0.8350869799420636  0.5891806060112756
  0.4966156900003792  0.3464846524677724  0.5894747705196896
  0.7415082384870789  0.8288649544573906  0.4177536748507131
