 Pt  P   S  
   2   2   6
Direct
  0.0000089278993613  0.0000163921216393  0.5000478765906865
  0.3333310480232711  0.6666640792721021  0.4999483072514110
  0.6666219328332075  0.3333144672871450  0.4389611290034747
  0.6667181797770327  0.3333659711860668  0.5610730903525988
  0.3318741330931655 -0.0012806533414456  0.4172576452692907
  1.0011565833464104  0.3330795626251617  0.4172319361960083
  0.6666839891084305  0.6679415379721849  0.4172422702930998
  1.0014744720892883  0.6680173858983710  0.5827423055615736
  0.3321264584326668  0.3335535316781837  0.5827674570023547
  0.6667040019343948 -0.0012713533990237  0.5827567106049180
