 Hf  C   F  
   4   3   2
Direct
  0.3333333333333343  0.6666666666666670  0.4496858902118444
  0.6666666666666673  0.3333333333333335  0.5505251534290154
 -0.0000000000000000  0.0000000000000000  0.3483206862012780
  0.0000000000000000 -0.0000000000000000  0.6518928174655804
  0.0000000000000000  0.0000000000000000  0.5001111679265970
  0.6666666666666673  0.3333333333333335  0.3913720566763690
  0.3333333333333343  0.6666666666666670  0.6088538867125249
  0.6666666666666673  0.3333333333333335  0.7047580010860255
  0.3333333333333343  0.6666666666666670  0.2954433152640514
