 Ta  C   O  
   2   1   2
Direct
  0.3333333333333339  0.6666666666666667  0.4365367769749912
  0.6666666666666662  0.3333333333333334  0.5634632230250053
  0.0000000000000000  0.0000000000000000  0.5000000000000007
  0.3333333333333339  0.6666666666666667  0.6185300516774314
  0.6666666666666662  0.3333333333333334  0.3814699483225752
