 Cd  P   Se 
   2   2   6
Direct
  0.0000389444612376 -0.0000081202618890  0.5002105151900875
  0.3333037590081112  0.6666946302112944  0.4998110638452707
  0.6666713083611637  0.3333433217604728  0.4379661541952905
  0.6666673118296754  0.3333340001802236  0.5620195512917863
  0.3454210566357988  0.0125034330995338  0.4029081747508767
  0.9875235497178642  0.3329346546149591  0.4029164617210437
  0.6670055018059373  0.6545225835296473  0.4029222718316905
  0.9879716043153475  0.6541021010666427  0.5970936441262169
  0.3458896353014924  0.3338724793588455  0.5970861578400659
  0.6662069797150462  0.0121021732913961  0.5970812070132637
