 W   P   Se 
   2   2   6
Direct
 -0.0304146718140076 -0.0533205686133449  0.5028718497810190
  0.3637558981553942  0.7200046294750738  0.4971112997851052
  0.6570322366846701  0.3279279674124381  0.4405169724595989
  0.6763184710165803  0.3387594987410018  0.5594739106625655
  0.2884399095264416 -0.0605157186519760  0.4065707157669374
  1.0451263549285090  0.3444581134590903  0.4236859627359396
  0.6765522715815698  0.6762527150822809  0.4113193949073636
  1.0448981352533684  0.7271801167779122  0.5934271346155959
  0.2882082245566853  0.3222236311136790  0.5763061340175424
  0.6567821906615864 -0.0095708006113179  0.5886745077814232
