 Cr  W   S  
   1   3   8
Direct
  0.0008371700865256  0.0011293664439637  0.4999491083394994
  0.5008544717168424  0.0002499412646491  0.5000288509022626
  0.2498124635075387  0.5009649186951987  0.4999508444144115
  0.7517996582179048  0.5009572273479590  0.4999602689095808
  0.0007964951483263  0.3232004095538990  0.4154532386178499
  0.2422789491742782  0.8391310228980163  0.5844467090288177
  0.0007889481089912  0.3231132464447459  0.5844118810815616
  0.2424371196888598  0.8392653688638867  0.4155098545806740
  0.5008088971194287  0.3349133137706680  0.4129006199811426
  0.7594655511048060  0.8391448246298226  0.5844536931665608
  0.5008048681395948  0.3351720915226588  0.5870993800188574
  0.7592966360647349  0.8392231718041782  0.4155317157088537
