 Ta  P   S  
   2   2   6
Direct
 -0.0050340706820017 -0.0406174295378584  0.4980644359120894
  0.3383549810815226  0.7073137188060074  0.5018207201339154
  0.6782802106713971  0.3376029231856251  0.4373780950774498
  0.6550842180645056  0.3291035998208173  0.5624998082863822
  0.3498002552322880  0.0027842962046689  0.4185885729896775
  1.0266239674750259  0.3216383537514893  0.4254148756198692
  0.6878920834323888  0.7387980370605970  0.4144243596649066
  0.9834734138004257  0.6638794569099726  0.5812952010111041
  0.3067122724572877  0.3450014453477573  0.5744709669976159
  0.6455136168031068 -0.0721025827497520  0.5854467121769912
