 Cr  Mo  Te 
   3   1   8
Direct
  0.9970589168790112  0.0046924436994141  0.4999416250445438
  0.9970861316294760  0.4935756850134801  0.5000585236159150
  0.5077486789813412  0.7491221722602290  0.4999775090503645
  0.4944831973569891  0.2491550911312896  0.4999630943700770
  0.6701939669796981  0.9931513224604768  0.5942327305282642
  0.1685717726711197  0.7490495713132480  0.4104613290059944
  0.6701123344372247  0.9931535584595572  0.4056396714842369
  0.1686361730445094  0.7492314472082288  0.5895068146443476
  0.6700877054991322  0.5051095158863950  0.5943112826364576
  0.1544001875368669  0.2492749270473606  0.4047105462917743
  0.6703220318117948  0.5051603528930149  0.4056970252308687
  0.1545164001900892  0.2490449256381436  0.5952871288445272
