 Hf  P   Se 
   2   2   6
Direct
  0.0118536589016765 -0.0121298244531547  0.4993479730807650
  0.3214870711652907  0.6788517715771270  0.5006504353879889
  0.6587688166228830  0.3338903159348615  0.4391292128407389
  0.6745684114875019  0.3327809849669641  0.5608638168177288
  0.2683427359165574 -0.0872695117394832  0.4050971117584420
  1.0165184663030191  0.3387896797507137  0.4174187930252832
  0.6710487813700056  0.6717160941638874  0.4182949655993627
  1.0650344035199246  0.7539288766959656  0.5949005514513921
  0.3168372251336631  0.3278950060688796  0.5825755011647521
  0.6622407794195589 -0.0050538704789357  0.5816932458274086
