 Ta  C   O  
   4   3   2
Direct
  0.3333333333333356  0.6666666666666674  0.4462793831087267
  0.6666666666666669  0.3333333333333337  0.5535978870027448
  0.0000000000000000  0.0000000000000000  0.3450728208445814
  0.0000000000000000 -0.0000000000000000  0.6548180388237385
  0.0000000000000000  0.0000000000000000  0.4999360147519747
  0.6666666666666669  0.3333333333333337  0.3947653192633110
  0.3333333333333356  0.6666666666666674  0.6051179873137756
  0.6666666666666669  0.3333333333333337  0.6982748325276006
  0.3333333333333356  0.6666666666666674  0.3016242499801913
