 Sc  P   Se 
   2   2   6
Direct
  0.0000290038248655  0.0000070398786167  0.4966229243357432
  0.3333340176064969  0.6666658930425026  0.4966724241328208
  0.6666574498959069  0.3333388039965440  0.4557399661646231
  0.6666289308989150  0.3333027998645015  0.5807178110647795
  0.3541714233565957  0.0207668176944749  0.4078426887074411
  0.9791822408529101  0.3333923705015196  0.4078513267363865
  0.6666134174415704  0.6458200367181942  0.4078528126664780
  1.0322729012926601  0.6989715844441495  0.5822708569988558
  0.3010439411270708  0.3333271443801814  0.5822750755953614
  0.6667672967595852 -0.0321928598273318  0.5822687182722057
