 Mo  W   Se 
   3   1   8
Direct
  0.0009829242047669  0.0005043482757007  0.4999872174383403
  0.5003237747571155  0.0005191641503501  0.5000222357965100
  0.2506129512861127  0.5022591473381469  0.5000017509070303
  0.7506071820548392  0.5004427627847012  0.4999969025725924
  0.0008985649436432  0.3342434193704318  0.4089135854406096
  0.2506612508505771  0.8347538925360538  0.5910981575295144
  0.0009063795614541  0.3341876959219693  0.5910669064612122
  0.2507260981601890  0.8347721344379088  0.4089018424704856
  0.5003317513607320  0.3341820568563157  0.4089215249857670
  0.7507606439444816  0.8338114127479086  0.5910807126513922
  0.5003645784120385  0.3342738114906125  0.5910905437282559
  0.7506302414366028  0.8338456335453274  0.4089134403497049
