 Os  P   S  
   2   2   6
Direct
 -0.0001632625627313 -0.0000812262483157  0.5036470651893247
  0.3333226727055012  0.6666183093548971  0.5036167261406814
  0.6669503018225874  0.3334784989946057  0.4211209354046508
  0.6665704200779597  0.3333315331838609  0.5409584845560408
  0.2747597363481356 -0.0585828563095086  0.4327795752148021
  1.0585201391521661  0.3332685678094259  0.4327238982721621
  0.6667943962277592  0.7250623920367357  0.4326700444350312
  0.9928159255550264  0.6595519592195411  0.5774160600139999
  0.3404410056653124  0.3334546228183952  0.5774929040969222
  0.6667211739556391  0.0073896626322692  0.5775148588368098
