 Sc  N   F  
   4   3   2
Direct
  0.3333333333333353  0.6666666666666673  0.4499435244290755
  0.6666666666666667  0.3333333333333340  0.5502724982423455
  0.0000000000000003  0.0000000000000003  0.3479852019496022
  0.0000000000000006  0.0000000000000006  0.6522356165020410
  0.0000000000000005  0.0000000000000005  0.5001205975565940
  0.6666666666666666  0.3333333333333338  0.3928233271001939
  0.3333333333333353  0.6666666666666674  0.6074172613554636
  0.6666666666666667  0.3333333333333341  0.6999957395459192
  0.3333333333333350  0.6666666666666672  0.3002133130762082
