 Cr  W   Se 
   1   3   8
Direct
  0.0008061096529708  0.0003559990985253  0.4999742822150429
  0.5008462502865153  0.0020096009703884  0.5000095289100184
  0.2514258516649105  0.5004073142967709  0.4999866181203765
  0.7500561270046253  0.5004342381175126  0.4999864592829347
  0.0007220093073075  0.3234744855751286  0.4111532825707327
  0.2428984816174640  0.8388845206347756  0.5890190120308645
  0.0006948641511419  0.3234161001247854  0.5887844288632688
  0.2429453572092506  0.8388518096575416  0.4109642817749988
  0.5007615272566969  0.3352908725697796  0.4078134495595371
  0.7588024895178834  0.8388517628527441  0.5890265506622294
  0.5007608959245728  0.3353595866726548  0.5921865504404630
  0.7587319052313244  0.8388495009282566  0.4109637072701373
