 Mo  W   Te 
   1   3   8
Direct
  0.0007548453579805  0.0009123329091160  0.5000079194898205
  0.5010474242042235  0.0000159215760957  0.4999915068044867
  0.2505389321009532  0.5010603177729045  0.5000169693788243
  0.7509898129402307  0.5013237772002729  0.5000174146158044
  0.0007173852361240  0.3337048481178588  0.4029046845388579
  0.2503261576615118  0.8344807721262135  0.5971460085421122
  0.0007135811470173  0.3337018388397789  0.5971324344237392
  0.2503304591223700  0.8344493842996067  0.4028460940372811
  0.5008055645106297  0.3340404236062167  0.4028129163237786
  0.7515029644459945  0.8344705544754100  0.5972424607137997
  0.5007986233110480  0.3340318363979791  0.5972069674508348
  0.7514743567548723  0.8344745466828929  0.4027575392862003
