 Mo  W   Se 
   1   3   8
Direct
  0.0001484099247018  0.0014498782783655  0.5000174924916626
  0.5001483899339942 -0.0003082489997683  0.4999905056822940
  0.2500288362933918  0.5016433255284423  0.5000025444479526
  0.7503384619417385  0.5016443370761809  0.5000034166947317
  0.0002111109458008  0.3347724912001196  0.4087662144905980
  0.2499138060031820  0.8345088659864138  0.5913301872606483
  0.0001936396371062  0.3348276580999003  0.5912609346312926
  0.2498765399115394  0.8345233381906580  0.4086680733304283
  0.5002019368965102  0.3339181393880638  0.4086752788987992
  0.7504079082753665  0.8345191395431445  0.5913319266695717
  0.5001935811487013  0.3338696906667085  0.5912985858628254
  0.7504753297659142  0.8345242719421583  0.4086738473074704
