 Ti  C   F  
   4   3   2
Direct
  0.3333333333333341  0.6666666666666662  0.4518110381548983
  0.6666666666666661  0.3333333333333331  0.5485550236368210
  0.0000000000000000  0.0000000000000000  0.3546131841715463
  0.0000000000000000 -0.0000000000000000  0.6457667363013080
 -0.0000000000000000 -0.0000000000000000  0.5001886318551599
  0.6666666666666661  0.3333333333333331  0.3974266020156638
  0.3333333333333341  0.6666666666666662  0.6029572782369189
  0.6666666666666661  0.3333333333333331  0.6968045806260577
  0.3333333333333341  0.6666666666666662  0.3035721327449821
