 Os  P   Te 
   2   2   6
Direct
  0.0000017734576810  0.0000042859965825  0.5000271719817612
  0.3333374546537010  0.6666744068430185  0.4999586298763704
  0.6666773963420430  0.3333518008438422  0.4416701485748916
  0.6666625800672658  0.3333282685073689  0.5583895568307199
  0.2923056768879318 -0.0410024142943525  0.4171326357349358
  1.0409584326866088  0.3332761606304812  0.4171313147874190
  0.6666849354013620  0.7076716995922433  0.4171299197945266
  1.0410789907431344  0.7077626596934415  0.5828604600533340
  0.2923022458499258  0.3333700174773600  0.5828619174206455
  0.6666904964574496 -0.0410363211935412  0.5828634395920775
