 Cr  W   Se 
   3   1   8
Direct
  0.0003127358415335  0.0017849097978078  0.4999521211083741
  0.5014653627286093  0.0017592841773611  0.5000208294509759
  0.2507950973155259  0.4979870994493592  0.4999781803761132
  0.7507757993824233  0.5021697395256007  0.4999814967600813
  0.0089513235520397  0.3293318986418673  0.4114948046523905
  0.2508862919865317  0.8318669636141112  0.5848886860242843
  0.0089744402929979  0.3292363544354344  0.5884170576585492
  0.2510371521270766  0.8319123525997782  0.4150460041264789
  0.4925938294988412  0.3291787135885333  0.4115659656343333
  0.7508768730776630  0.8462907021080145  0.5886508608870525
  0.4926392494521597  0.3293503043705999  0.5884885417976193
  0.7507963604203721  0.8462913085919690  0.4113491391129474
