 Mo  W   S  
   1   3   8
Direct
  0.0008011483458568  0.0014180674353063  0.4999821271730364
  0.5008180771585821 -0.0007630496413700  0.5000232239577094
  0.2505391937630853  0.5014192949526471  0.4999988960066944
  0.7510147466279194  0.5014227548824153  0.4999980239287520
  0.0007429526369341  0.3352029302467360  0.4134796877968712
  0.2508058134113982  0.8340867763362870  0.5865264978834774
  0.0008339984782881  0.3351396290044424  0.5864832081370864
  0.2507958766547985  0.8340793364503666  0.4134681538635663
  0.5007328872698815  0.3334104095310497  0.4135219483661502
  0.7509647218706398  0.8340834776567546  0.5865318461364336
  0.5008218281577248  0.3335024278255088  0.5865026020587637
  0.7507560196305316  0.8340937800819039  0.4134723601233641
