 Mo  N   F  
   4   3   2
Direct
  0.3333333333333355  0.6666666666666685  0.4473669390062511
  0.6666666666666683  0.3333333333333345  0.5526754390503796
  0.0000000000000003  0.0000000000000003  0.3647739778858418
  0.0000000000000006  0.0000000000000006  0.6352637618922796
  0.0000000000000005  0.0000000000000005  0.5000294712558345
  0.6666666666666682  0.3333333333333344  0.3906962418096250
  0.3333333333333356  0.6666666666666686  0.6093410458309936
  0.6666666666666686  0.3333333333333347  0.6907667730915348
  0.3333333333333354  0.6666666666666684  0.3092642918727139
