 Cr  W   Se 
   2   2   8
Direct
  0.0009137390605593  0.0020479076601908  0.4999487813906895
  0.5008905433355991  0.0020189787443034  0.4999437972289668
  0.2507911085675936  0.4996610480449981  0.5000173518864763
  0.7508010503011003  0.4996842199218801  0.5000200829933394
  0.0007899996151336  0.3245046969616200  0.4097060518535950
  0.2508964518457245  0.8436653479504139  0.5871342273821222
  0.0007809104770783  0.3243826735389685  0.5902939481464050
  0.2508803273882469  0.8434906240979062  0.4127960003892019
  0.5008025878100983  0.3244887205088631  0.4097088739317267
  0.7508943372573927  0.8437143441738104  0.5871288385838799
  0.5007803835381800  0.3243473984427250  0.5902844894834050
  0.7509108262497660  0.8435230837042991  0.4127995689766321
