 Hf  N   O  
   4   3   2
Direct
  0.3333333333333351  0.6666666666666679  0.4475530879754653
  0.6666666666666672  0.3333333333333342  0.5523651179689295
  0.0000000000000003  0.0000000000000003  0.3406834096803643
  0.0000000000000006  0.0000000000000006  0.6592614015614866
  0.0000000000000005  0.0000000000000005  0.4999518987481850
  0.6666666666666671  0.3333333333333341  0.3926754028267683
  0.3333333333333353  0.6666666666666680  0.6072525116176624
  0.6666666666666673  0.3333333333333344  0.6990604224012990
  0.3333333333333350  0.6666666666666677  0.3008981295243814
