 Sb  Se  I  
   1   1   1
Direct
 -0.0000000000000001 -0.0000000000000002  0.5134473371368246
  0.6666666666666665  0.3333333333333333  0.6015805615470543
  0.6666666666666665  0.3333333333333333  0.3898069796373786
