 Sc  P   S  
   2   2   6
Direct
  0.0000229243982073  0.0000001610507622  0.4971093387480564
  0.3333227344581837  0.6666627807531096  0.4971952817767571
  0.6666421509571858  0.3333318409663605  0.4559680682507495
  0.6666469756812136  0.3332897578437580  0.5806317121041630
  0.3621399722271127  0.0287937574799616  0.4139868800365680
  0.9711217739879283  0.3333568266001163  0.4139890593372411
  0.6665828137845570  0.6377854169673656  0.4139919924529423
  1.0264139457190220  0.6931421053731476  0.5756273300273201
  0.3069889308286000  0.3332929690588305  0.5756310495427629
  0.6668135387902863 -0.0262520742716114  0.5756289750211063
