 Zr  Hf  Te 
   1   3   8
Direct
  0.0006426578814756  0.0009518497265054  0.4993195845831777
  0.5008315278342828  0.0001306855320038  0.5003810130493704
  0.2510292216416274  0.5009158444259479  0.5003017537404580
  0.7508604756156684  0.5009912402022009  0.5003174724861545
  0.0009790404537372  0.3368416249214822  0.4008791264063336
  0.2512808494802719  0.8336563084022103  0.5990874304028297
  0.0008550641666011  0.3352607915070765  0.5989970025452557
  0.2523969107517075  0.8331894101167555  0.4008853117150892
  0.5010147712271640  0.3339729782295015  0.4015537636010743
  0.7499826300108097  0.8334468546270039  0.5991364931405220
  0.5008825056720637  0.3341432932751054  0.5990898313291265
  0.7491396957094905  0.8331431233563499  0.4008635068594780
