 Cr  Mo  Se 
   2   2   8
Direct
  0.0009401586062232  0.0028231080723290  0.4999640138486540
  0.5009896706272892  0.0028369437669126  0.5000244123986731
  0.2508225921897342  0.4983799374459932  0.5000117507874532
  0.7508329980614948  0.4984164820985787  0.5000151276344403
  0.0008056173658183  0.3243558485509919  0.4097730240865665
  0.2509448661154431  0.8436888241468654  0.5868757259577524
  0.0008450804515852  0.3241166593788080  0.5901978170315206
  0.2510494508825225  0.8434897527408119  0.4131037176705739
  0.5008279681356743  0.3242504805322096  0.4098216228733904
  0.7510569149472868  0.8436996828876460  0.5868904504695270
  0.5008482979243573  0.3242411387268777  0.5902269759134334
  0.7509437175142761  0.8434867394352459  0.4130938543358583
