 Zr  N   F  
   2   1   2
Direct
  0.3333333333333338  0.6666666666666663  0.4418636343328982
  0.6666666666666672  0.3333333333333334  0.5581363656616931
  0.0000000000000004  0.0000000000000004  0.5000000000418285
  0.3333333333333339  0.6666666666666664  0.6243804624167272
  0.6666666666666671  0.3333333333333333  0.3756195375820578
