 Ru  P   Te 
   2   2   6
Direct
  0.0000035536437236  0.0000068973422362  0.5000301121144772
  0.3333357188310657  0.6666719695080714  0.4999614275927042
  0.6666787232518254  0.3333520639601593  0.4413824823405495
  0.6666610863520773  0.3333277172859751  0.5586647710028753
  0.2949207213151080 -0.0383652962514908  0.4161693418648220
  1.0383457890277821  0.3332567432654147  0.4161651321315095
  0.6667087080788352  0.7050646954754155  0.4161656197682136
  1.0384573269409403  0.7051064190061672  0.5838272590371912
  0.2949341357702739  0.3334026360145973  0.5838315779763043
  0.6666540622039742 -0.0384230712726536  0.5838311737027623
