 Cr  W   Te 
   1   3   8
Direct
  0.0007704843348260 -0.0018500200024152  0.5000215916858086
  0.5009508815888882  0.0082376746189377  0.4999997632395267
  0.2563080575443179  0.4985069648406963  0.4999882633753818
  0.7453262357343514  0.4986205540848666  0.4999891098154198
  0.0008098821455056  0.3239944077495568  0.4065533666993917
  0.2445682999396238  0.8383142741955371  0.5942318539580869
  0.0008057719175027  0.3241616735981326  0.5935000070740202
  0.2444858923947106  0.8383192566759090  0.4057733150027393
  0.5008202020012578  0.3357837669080883  0.4007318362357203
  0.7572399011015836  0.8382861119083430  0.5942859674281846
  0.5008183882193915  0.3358733040883090  0.5992681637642797
  0.7572050894246742  0.8383299266909654  0.4057375614068298
