 Ti  Zr  S  
   1   3   8
Direct
  0.0016923298471961 -0.0000905165089408  0.4900020968357811
  0.5024519502992910  0.0032462944945666  0.5087615968237131
  0.2484186084547183  0.4998262477984459  0.5106091329149519
  0.7542136907877349  0.5002881961797586  0.4874962285672609
  0.0120472131522494  0.3243391868645117  0.4116555740629549
  0.2385824625223287  0.8462169710884500  0.5875935003608255
 -0.0089457755490969  0.3108789990215963  0.5807128811976012
  0.2461238734090949  0.8335445370270853  0.4185852628164453
  0.4907895764504425  0.3310452778953089  0.4153615744337987
  0.7686494951418954  0.8278837567873065  0.5800155025394743
  0.5121553371883902  0.3438974889509304  0.5886713711797407
  0.7545935407633145  0.8517172544869737  0.4113286288202593
