 Sc  C   O  
   4   3   2
Direct
  0.3333333333333357  0.6666666666666675  0.4454096101882700
  0.6666666666666670  0.3333333333333338  0.5546074322290366
 -0.0000000000000000 -0.0000000000000000  0.3283763136426596
  0.0000000000000000  0.0000000000000000  0.6716389501656357
  0.0000000000000000  0.0000000000000000  0.5000090319005048
  0.6666666666666670  0.3333333333333338  0.3948550932059079
  0.3333333333333357  0.6666666666666675  0.6051621636388146
  0.6666666666666670  0.3333333333333338  0.7005572088206470
  0.3333333333333357  0.6666666666666675  0.2994599371020534
