 Cr  Mo  Se 
   1   3   8
Direct
  0.0007561149345247 -0.0001725836051828  0.4999638521541875
  0.5007872721718881  0.0037539748555743  0.5000134155626220
  0.2511198371030293  0.4998053534955080  0.4999823771091552
  0.7502723619953349  0.4998122995363900  0.4999825819260398
  0.0006585096842624  0.3224598875426906  0.4113226473101485
  0.2428872858896182  0.8388454327733893  0.5886484447936537
  0.0006008267027592  0.3224255238035501  0.5885942046774062
  0.2429173254110286  0.8388333759274342  0.4113208109103446
  0.5007027973660159  0.3362419622162872  0.4080621838761717
  0.7586356226400838  0.8388208056100933  0.5886554339331524
  0.5007019729075416  0.3363434204134866  0.5919378161238283
  0.7586125708198955  0.8388281058661352  0.4113312729277384
