 Mo  W   Se 
   2   2   8
Direct
  0.0006426689956615  0.0000028864528238  0.4999627983956060
  0.5006616085821449  0.0000306669989326  0.5000406316408552
  0.2505824575634569  0.5019115900940806  0.4999892240789503
  0.7505667021857867  0.5019521335445616  0.4999891616405696
  0.0006260971163352  0.3341758759866582  0.4087970441303688
  0.2505299822199441  0.8342972307668930  0.5912215429711759
  0.0005262591662162  0.3340568415912694  0.5911161481256918
  0.2508650075862011  0.8343438220870902  0.4087919166595454
  0.5006535333177434  0.3340142461322002  0.4088564873353867
  0.7507023414958098  0.8343191435586772  0.5912237404809531
  0.5005288068180350  0.3342434807044939  0.5911864226377533
  0.7506371160638149  0.8343655860038626  0.4087762595190469
