 Zr  Hf  Te 
   2   2   8
Direct
  0.0006553113680646  0.0001375446159719  0.4990845439039962
  0.5008600847265893  0.0002597606166129  0.5005662245164241
  0.2508161590295071  0.5011452178701847  0.5003382990921296
  0.7509211872332492  0.5011817670348434  0.5003443233243462
  0.0009329792382898  0.3367547164239746  0.4010101080299706
  0.2501257736666047  0.8329019445386655  0.5993277174934616
  0.0007956420788082  0.3349202971150627  0.5988267131825225
  0.2514851687338720  0.8323519076005753  0.4006580727027629
  0.5009501170204920  0.3357903481304398  0.4014696315070722
  0.7513114548763725  0.8327065372778558  0.5993616664560805
  0.5008051794598882  0.3362354075243976  0.5993255327752212
  0.7500562594578483  0.8322807083791214  0.4006383335439195
