 Ti  Zr  S  
   3   1   8
Direct
  0.0054229699449544  0.0028579771627037  0.4910344673597829
  0.4988194851590398  0.0025508850358869  0.5080050084748471
  0.2522560164333563  0.4980972240905899  0.4917936026171409
  0.7524972696600957  0.5024127458396049  0.5087179941405063
  0.0053423929345604  0.3365149507655533  0.4130129938660394
  0.2468403156043646  0.8243293691589674  0.5791642222685038
  0.0193029215131179  0.3194003858928230  0.5818325187065332
  0.2576031524729329  0.8371065457659482  0.4149933043904251
  0.4991601109258065  0.3261251517812190  0.4180488273434092
  0.7548375261356450  0.8577024753706226  0.5865592783524303
  0.4848657406042501  0.3303419542697916  0.5869844730083221
  0.7489155077889832  0.8457404406452662  0.4183068432534771
