 Y   N   O  
   4   3   2
Direct
  0.3333333333333344  0.6666666666666663  0.4423626071937082
  0.6666666666666675  0.3333333333333335  0.5576480514314612
  0.0000000000000003  0.0000000000000003  0.3266431731329366
  0.0000000000000006  0.0000000000000006  0.6733552914979036
  0.0000000000000004  0.0000000000000004  0.4999969686233713
  0.6666666666666675  0.3333333333333333  0.3936965653951904
  0.3333333333333346  0.6666666666666665  0.6063021779907379
  0.6666666666666676  0.3333333333333335  0.7024533904130472
  0.3333333333333343  0.6666666666666662  0.2975563053076193
