 Ti  Se  Te 
   1   1   1
Direct
  0.0000000000000000  0.0000000000000000  0.5094977021538338
  0.6666666666666665  0.3333333333333333  0.5906172789163175
  0.6666666666666665  0.3333333333333333  0.4047006583342119
