 Cr  Mo  Te 
   2   2   8
Direct
  0.0006984547848812  0.0049022488075020  0.4999920414765518
  0.5011379981255049  0.0050371804538231  0.5000010752682776
  0.2508347021879562  0.4964736584013028  0.5000178440743031
  0.7506904602234762  0.4968820354406966  0.5000184006755988
  0.0007336780850300  0.3258883190889827  0.4036326031506686
  0.2509383551698407  0.8425028228936362  0.5923842981244979
  0.0007076225491992  0.3258125354095279  0.5963944841463785
  0.2508789745180942  0.8424080263268680  0.4075990774472147
  0.5008437583483306  0.3259390740033833  0.4035709564086015
  0.7508655400495227  0.8425563024944545  0.5925145156489695
  0.5008352164849870  0.3257799956525449  0.5964290435913985
  0.7509457335166534  0.8424826241102994  0.4074803380856795
