 Zr  Hf  Te 
   3   1   8
Direct
  0.0005389248631751  0.0003880070331387  0.4992370834052607
  0.5009675711469419  0.0005252410718978  0.5004989900140001
  0.2508323696141758  0.5014241685825711  0.5001926846419612
  0.7508753103398697  0.5005209582146409  0.5005122019165317
 -0.0004012587940697  0.3357583757762923  0.4008309742984235
  0.2502487044074618  0.8345926916564179  0.5994664680387277
 -0.0002088187632680  0.3341644756560030  0.5991268703368469
  0.2513693011328780  0.8342950358683058  0.4004729691354959
  0.5022301734004522  0.3349551728737343  0.4012216309648607
  0.7512151542611221  0.8325824727990984  0.5992943519493474
  0.5018497911592772  0.3352515292556805  0.5995270308645042
  0.7501599921102911  0.8319458944508460  0.4008505536738363
