 Zr  C   F  
   4   3   2
Direct
  0.3333333333333341  0.6666666666666672  0.4492154854188707
  0.6666666666666664  0.3333333333333336  0.5510418925400556
  0.0000000000000000  0.0000000000000000  0.3467371980141529
 -0.0000000000000000 -0.0000000000000000  0.6535505710957663
  0.0000000000000000  0.0000000000000000  0.5001349556381274
  0.6666666666666664  0.3333333333333336  0.3904762017974760
  0.3333333333333341  0.6666666666666672  0.6098202721833499
  0.6666666666666664  0.3333333333333336  0.7055012291283962
  0.3333333333333341  0.6666666666666672  0.2947957423199816
