 Ti  Hf  Te 
   2   2   8
Direct
  0.0007927442462813  0.0014709110481018  0.4995595167150814
  0.5007448896875857  0.0014356729741696  0.5001269383701439
  0.2509384010206133  0.4990370377704795  0.5001027023472254
  0.7509236988840695  0.4990589242250271  0.5001081611247925
  0.0009706078755185  0.3270662583805347  0.4011918415473136
  0.2504126667523239  0.8424321326615318  0.5959734705243721
  0.0009138016024797  0.3259772925903463  0.5986136240457901
  0.2511068510209327  0.8425412029627022  0.4039539907858209
  0.5009881042280560  0.3265211185408046  0.4014015994477098
  0.7509159381052950  0.8424486028742071  0.5959764194209501
  0.5009115119840759  0.3263780602028509  0.5988081584526863
  0.7506714560351357  0.8425492493409892  0.4039485520034199
