 Cr  W   Te 
   2   2   8
Direct
  0.0006969287805234  0.0048652589821493  0.5000089696574433
  0.5011078206589490  0.0049889875515573  0.4999895318918287
  0.2508711296079836  0.4967387633535187  0.5000298161415582
  0.7506788581277489  0.4971197652435396  0.5000312800618686
  0.0007562485152526  0.3255479392626706  0.4035489887135272
  0.2509360712829081  0.8427117075330302  0.5924261122120876
  0.0007301421152892  0.3254662420069970  0.5964649547987928
  0.2508931003000915  0.8426159934064723  0.4075749790440903
  0.5008558166408196  0.3255379191081750  0.4034853987870036
  0.7508544646181210  0.8427526161654364  0.5925507752257972
  0.5008416031454612  0.3254146158248183  0.5965146012129964
  0.7509246025711463  0.8426745213203032  0.4074563702480101
