 Ti  C   O  
   4   3   2
Direct
  0.3333333333333346  0.6666666666666675  0.4482406452715433
  0.6666666666666673  0.3333333333333338  0.5517471289315798
  0.0000000000000000 -0.0000000000000000  0.3430853391039689
 -0.0000000000000000 -0.0000000000000000  0.6569095646658344
  0.0000000000000000 -0.0000000000000000  0.4999980484633003
  0.6666666666666673  0.3333333333333338  0.3969241882868905
  0.3333333333333346  0.6666666666666675  0.6030635908824823
  0.6666666666666673  0.3333333333333338  0.6941692251804730
  0.3333333333333346  0.6666666666666675  0.3058369423177973
