 Ti  Zr  Te 
   1   3   8
Direct
  0.0008837069695443 -0.0003172314313980  0.4996234569195960
  0.5008647716613340  0.0028307940858043  0.4999653157915190
  0.2495672437313003  0.4998128980615568  0.4999890211352376
  0.7523639853633877  0.4997679138113809  0.5000041218759795
  0.0010290275672647  0.3225548282723688  0.4021659545023621
  0.2430626838111181  0.8388764400163047  0.5972972981497394
  0.0009065246650527  0.3219250053128460  0.5975512421023230
  0.2433312750116404  0.8389709732815201  0.4024423190464622
  0.5010672362207732  0.3367898993723705  0.3996795093948537
  0.7586899404831938  0.8388052021121960  0.5973635191705801
  0.5009531746965089  0.3363900914957233  0.6003204906051463
  0.7585451735503203  0.8390369280517209  0.4024034803835325
