 Ge  P   Te 
   2   2   6
Direct
  0.0000522361839631  0.0001353802737853  0.5141936201967856
  0.3332702278470378  0.6665103063253822  0.4856141680461324
  0.6665861971641237  0.3333158127110155  0.4393036668218002
  0.6667667109370270  0.3333783506812124  0.5608475301893576
  0.2950363993241367  0.0379829373963467  0.4017712989497083
  0.9617123234925454  0.2570868333397515  0.4017143232068987
  0.7429670443102723  0.7048238722021035  0.4017324681333125
  1.0386615569460307  0.6287741357414621  0.5981948576507586
  0.3715573195093515  0.4098634028746043  0.5982415344247053
  0.5900952246226517 -0.0384783728409624  0.5982178526349928
