 Cr  W   Te 
   3   1   8
Direct
 -0.0039610416586625  0.0027964047846078  0.5000366868536108
  0.5056788244562515  0.0028201684528499  0.4999458432677168
  0.2508779342570265  0.4932119721885005  0.5000162004183270
  0.7507854096803050  0.5047206678503620  0.5000272443758749
  0.0074207992344172  0.3297473974431336  0.4056875738978681
  0.2509241627609750  0.8314270147911178  0.5896072012178468
  0.0073969438451426  0.3298325892820321  0.5943962345604141
  0.2507897856527102  0.8313796979886546  0.4103954729080068
  0.4942657452852792  0.3298268648694535  0.4056095958797912
  0.7507499973734433  0.8456949264263594  0.5952059955069334
  0.4942295181369588  0.3296416128217980  0.5943658168091817
  0.7509209223527377  0.8456213819659334  0.4047940044930666
