 Cr  Mo  Te 
   1   3   8
Direct
  0.0007621760667960 -0.0019322457035386  0.5000297088974488
  0.5010157462861834  0.0077271767602587  0.5000089442601773
  0.2545672170555410  0.4986997984881478  0.5000268023753933
  0.7469659140810926  0.4989296374280406  0.5000283629239384
  0.0007341698282011  0.3235963976241272  0.4062611415915205
  0.2446839416784541  0.8382311351739696  0.5941874675171911
  0.0007273300881916  0.3237320293516153  0.5937980794747094
  0.2446155516692611  0.8381825458213829  0.4057802240640020
  0.5008098128570316  0.3365348404658399  0.4013353879044759
  0.7571759410642372  0.8381600105214608  0.5942834329600458
  0.5007970967971684  0.3365594743607905  0.5986646120955240
  0.7571401092661053  0.8382418650169813  0.4057208092781835
