 Mo  W   S  
   3   1   8
Direct
  0.0012146036564556  0.0004114304210385  0.4999826325003791
  0.5004378567660317  0.0004202532203259  0.5000267051398561
  0.2507921404334619  0.5024030556906257  0.5000022553794792
  0.7507903398289153  0.5002588338165467  0.5000034300267570
  0.0007530277755481  0.3343811487388346  0.4136849017360095
  0.2508259896717294  0.8348727590667759  0.5863268808040355
  0.0008285688952349  0.3343190083345415  0.5862827832693043
  0.2508081370880982  0.8348776532702404  0.4136731191959646
  0.5007433518524794  0.3343001686273748  0.4137119422405190
  0.7509746012953450  0.8332446817790472  0.5862785714865125
  0.5008632786041552  0.3344084640489661  0.5863209958328135
  0.7507703905806962  0.8332299955734657  0.4137341747768558
