 Cr  Mo  S  
   1   3   8
Direct
  0.0008386332739714  0.0004237786135055  0.4999471903197956
  0.5008504112854278  0.0023723956514188  0.4999972349956743
  0.2498447717239831  0.5002216687796330  0.4999559678578768
  0.7517907946767198  0.5002222133348075  0.4999580439821132
  0.0008306529804595  0.3217386795032071  0.4157231691914294
  0.2421551423799966  0.8392585859716944  0.5840568045362438
  0.0007853041054502  0.3217080318175846  0.5841538073685835
  0.2422267435340285  0.8393490273855271  0.4158678202272210
  0.5008103067013493  0.3360515813930772  0.4130473222764536
  0.7595754742089168  0.8392821542177527  0.5840749307586910
  0.5008326408266732  0.3362547156343642  0.5869526777235463
  0.7594740405727058  0.8393023963461796  0.4158937041780117
