 Zr  Hf  S  
   1   3   8
Direct
  0.0007192392558139  0.0015020523220639  0.4845155889751992
  0.5007817758031267  0.0010529889915259  0.5053077151916168
  0.2510590794376452  0.5008688747492528  0.5025923263862422
  0.7506711739264285  0.5008590818914330  0.5027101123640905
  0.0008055724404468  0.3487409944845789  0.4109844072955369
  0.2444546662137770  0.8367286304505819  0.5836574113303969
  0.0008448218326755  0.3245488574598551  0.5826552708194582
  0.2606211975817511  0.8288714229245965  0.4119362362020901
  0.5009211295242237  0.3299989397989971  0.4172887488285406
  0.7571115405141063  0.8368301222212220  0.5837002854916241
  0.5007849591375740  0.3380456542085426  0.5890155927044631
  0.7407800472992939  0.8287306181196948  0.4119739787823517
