 Zr  N   O  
   2   1   2
Direct
  0.3333333333333339  0.6666666666666666  0.4311282566833945
  0.6666666666666666  0.3333333333333336  0.5688717433165438
  0.0000000000000004  0.0000000000000004  0.4999999999999698
  0.3333333333333340  0.6666666666666666  0.6182928848655496
  0.6666666666666666  0.3333333333333334  0.3817071151343991
