 Ti  Zr  Te 
   3   1   8
Direct
  0.0018686711936492  0.0020667171765418  0.4998519816864444
  0.4986970161942364  0.0020561628461371  0.5001397617712021
  0.2502567082676801  0.4978996051023880  0.5000240993036131
  0.7502835290260557  0.5020224847750369  0.4999814191350339
  0.0082593631073238  0.3298019547646394  0.4022144365458136
  0.2502631041024607  0.8317497060886928  0.5947655460057957
  0.0081043733759109  0.3294925317219258  0.5976720264375187
  0.2504038420038380  0.8317257987785009  0.4052762765914983
  0.4924515326167897  0.3294968222285998  0.4023121945974489
  0.7505986311712365  0.8477772469352496  0.5974288284169207
  0.4924560880976789  0.3297639039219748  0.5977855634541864
  0.7501392715668657  0.8479866032663788  0.4025808177616169
