 Y   C   O  
   4   3   2
Direct
  0.3333333333333342  0.6666666666666664  0.4412693029516824
  0.6666666666666674  0.3333333333333321  0.5577821718512820
  0.0000000000000006 -0.0000000000000025  0.3200231665106146
  0.0000000000000010  0.0000000000000033  0.6791224507951102
  0.0000000000000002  0.0000000000000002  0.4995018832200177
  0.6666666666666680  0.3333333333333334  0.3906107956424970
  0.3333333333333324  0.6666666666666669  0.6084706606959076
  0.6666666666666680  0.3333333333333334  0.7066545791507354
  0.3333333333333333  0.6666666666666669  0.2925180100464722
