 Cr  Mo  S  
   3   1   8
Direct
  0.0015053524905838  0.0017944365505558  0.4999763218479047
  0.5002092149801212  0.0018125502756797  0.5000391536490804
  0.2508144924635691  0.4979927151872769  0.4999952095322817
  0.7508065775616557  0.5019013771902523  0.4999905323827181
  0.0097498121909860  0.3287475884012983  0.4161780453976291
  0.2507992764094408  0.8314020991798542  0.5806284092159718
  0.0097334007069249  0.3286726558049207  0.5837682813384582
  0.2508834087767375  0.8313975346090599  0.4193643720768581
  0.4918743325411248  0.3286557780523303  0.4162140519646418
  0.7509522253171697  0.8477277311269804  0.5837736072781720
  0.4919037397709927  0.3287920583658272  0.5838219546023709
  0.7508478919186028  0.8477842889585946  0.4162311901731209
