 Zr  P   S  
   2   2   6
Direct
  0.0138941200773798 -0.0121917008386994  0.4995244340544290
  0.3193567608151989  0.6788078638934955  0.5004815950182510
  0.6698570325908252  0.3437306882893945  0.4387522122229853
  0.6634320025444718  0.3229105564595049  0.5612380647316052
  0.2680330785756119 -0.0888239437423600  0.4127837981780896
  1.0142370207246676  0.3493715375330062  0.4233916854843650
  0.6760813780418539  0.6613130899888160  0.4278839518891837
  1.0654178551765032  0.7555774491418292  0.5872645105255669
  0.3190950517821914  0.3173198529878121  0.5766421668153399
  0.6572882657743125  0.0053798280655377  0.5721641352757811
