 Hf  C   O  
   4   3   2
Direct
  0.3333333333333338  0.6666666666666657  0.4459058001493805
  0.6666666666666664  0.3333333333333329  0.5540612804638549
 -0.0000000000000000 -0.0000000000000000  0.3366564891993690
  0.0000000000000000  0.0000000000000000  0.6633261446862780
  0.0000000000000000  0.0000000000000000  0.4999810853533932
  0.6666666666666664  0.3333333333333329  0.3917786158136711
  0.3333333333333338  0.6666666666666657  0.6081965821456031
  0.6666666666666664  0.3333333333333329  0.7009947446370627
  0.3333333333333338  0.6666666666666657  0.2989959233093333
