 Mo  W   S  
   2   2   8
Direct
  0.0008096523209239 -0.0000650745536053  0.4999670727082015
  0.5008081248707463 -0.0000410780104989  0.5000310132174591
  0.2507679563237348  0.5019675050566866  0.4999881235799322
  0.7507591503179413  0.5019612187002666  0.4999890919563663
  0.0007327259221300  0.3344991487923462  0.4135851549524076
  0.2507431892699324  0.8339248964843857  0.5864124960881512
  0.0007861072853119  0.3344093787036354  0.5863402865982890
  0.2508768311176393  0.8339716518113929  0.4135859013131254
  0.5007298819831574  0.3343895572258325  0.4136279709658284
  0.7509755096579791  0.8339269497881319  0.5864148450475923
  0.5007914392973912  0.3345765325945906  0.5863978530727256
  0.7507357469118865  0.8339580766324698  0.4135892445179380
