 Cr  Mo  Se 
   3   1   8
Direct
 -0.0002798504066150  0.0022182828197084  0.4999914973393579
  0.5019420013364880  0.0021608173353464  0.4999777257262621
  0.2508063038497261  0.4965854551726223  0.5000023287271054
  0.7508289712962443  0.5027967042768509  0.5000136832653034
  0.0087386113919984  0.3291902361912559  0.4116104963704201
  0.2508811965449926  0.8314841959260164  0.5848185040870711
  0.0087004965011264  0.3292081852818841  0.5884251465261978
  0.2508227628609191  0.8314478256077382  0.4151342799161979
  0.4929061471695815  0.3291969092536273  0.4116067945920826
  0.7508127650997255  0.8469483911168557  0.5886265153642740
  0.4929031672477436  0.3291346972308521  0.5884090379632261
  0.7508575729943799  0.8468998605129117  0.4113734846357260
