 Y   C   F  
   4   3   2
Direct
  0.3333333333333338  0.6666666666666661  0.4414472944512735
  0.6666666666666670  0.3333333333333330  0.5585648568507043
 -0.0000000000000000 -0.0000000000000000  0.3318931121847123
  0.0000000000000000  0.0000000000000000  0.6681152808398477
  0.0000000000000000  0.0000000000000000  0.4999908422051283
  0.6666666666666670  0.3333333333333330  0.3840009135925039
  0.3333333333333338  0.6666666666666661  0.6160140855060237
  0.6666666666666670  0.3333333333333330  0.7134195805973980
  0.3333333333333338  0.6666666666666661  0.2865699515406047
